,FPR,TPR,FPR*SR,TPR*SR,PPV,pDockQ
277,0.3641304347826087,0.9580193756727664,0.22841132607227785,0.6009453072248481,0.7245921514316181,0.19375459362285646
278,0.3641304347826087,0.9590958019375673,0.22841132607227785,0.6016205266711682,0.7248161919120021,0.19336711755375785
279,0.3677536231884058,0.9590958019375673,0.23068407558543486,0.6016205266711682,0.7228369578156989,0.18881314080068465
280,0.3677536231884058,0.9601722282023681,0.23068407558543486,0.6022957461174882,0.7230616281750618,0.18859802244296323
281,0.3695652173913043,0.9601722282023681,0.23182045034201332,0.6022957461174882,0.7220765508139024,0.18845356242498798
282,0.3695652173913043,0.961248654467169,0.23182045034201332,0.6029709655638082,0.7223013486662798,0.1863133313649141
283,0.3822463768115942,0.961248654467169,0.23977507363806277,0.6029709655638082,0.715483594719539,0.1797207361939252
284,0.3822463768115942,0.9634015069967707,0.23977507363806277,0.6043214044564483,0.7159387820461729,0.17819718599998008
285,0.3858695652173913,0.9634015069967707,0.24204782315121978,0.6043214044564483,0.7140162765187154,0.17546724402249456
286,0.3858695652173913,0.9644779332615716,0.24204782315121978,0.6049966239027684,0.7142442477569393,0.1754337199942133
287,0.39311594202898553,0.9644779332615716,0.2465933221775338,0.6049966239027684,0.7104318536021316,0.17304789530181047
288,0.39311594202898553,0.9655543595263725,0.2465933221775338,0.6056718433490884,0.7106612681686203,0.172728963353647
289,0.3967391304347826,0.9655543595263725,0.24886607169069078,0.6056718433490884,0.7087711764326972,0.17057072562216946
290,0.3967391304347826,0.9666307857911733,0.24886607169069078,0.6063470627954085,0.7090011113542645,0.16951355913482136
291,0.40217391304347827,0.9666307857911733,0.25227519596042625,0.6063470627954085,0.7061860516800725,0.16799640808483235
292,0.40217391304347827,0.9677072120559742,0.25227519596042625,0.6070222822417286,0.706416925034805,0.16741799850969147
293,0.4057971014492754,0.9677072120559742,0.2545479454735833,0.6070222822417286,0.7045534568335927,0.16493244457387737
294,0.4057971014492754,0.9698600645855759,0.2545479454735833,0.6083727211343687,0.7050158197344099,0.1636417861269007
295,0.411231884057971,0.9698600645855759,0.2579570697433187,0.6083727211343687,0.7022414876418138,0.1609464433818238
296,0.411231884057971,0.9709364908503767,0.2579570697433187,0.6090479405806887,0.7024733805783684,0.1593789106995313
297,0.42028985507246375,0.9709364908503767,0.2636389435262112,0.6090479405806887,0.6978997297570055,0.157267449556863
298,0.42028985507246375,0.9720129171151776,0.2636389435262112,0.6097231600270088,0.6981332915023306,0.15689684333381138
299,0.42391304347826086,0.9720129171151776,0.26591169303936824,0.6097231600270088,0.6963212552490633,0.15626472233999344
300,0.42391304347826086,0.9730893433799784,0.26591169303936824,0.6103983794733289,0.6965552475313863,0.15547771397393143
301,0.4311594202898551,0.9730893433799784,0.27045719206568225,0.6103983794733289,0.6929607976559137,0.15141910045617163
302,0.4311594202898551,0.9741657696447793,0.27045719206568225,0.6110735989196489,0.6931959781423191,0.15081820674115864
303,0.4365942028985507,0.9741657696447793,0.2738663163354177,0.6110735989196489,0.6905255242594848,0.14752778141364176
304,0.4365942028985507,0.9752421959095802,0.2738663163354177,0.611748818365969,0.6907614768487889,0.14739475142445096
305,0.4384057971014493,0.9752421959095802,0.2750026910919962,0.611748818365969,0.6898762639151366,0.14589882211858224
306,0.4384057971014493,0.976318622174381,0.2750026910919962,0.612424037812289,0.6901122288354501,0.14559138351373607
307,0.44565217391304346,0.976318622174381,0.27954819011831017,0.612424037812289,0.6865954103000832,0.14491481900240685
308,0.44565217391304346,0.9773950484391819,0.27954819011831017,0.613099257258609,0.6868324768756423,0.14448218357144865
309,0.447463768115942,0.9773950484391819,0.2806845648748887,0.613099257258609,0.6859592242284231,0.14260529317469975
310,0.447463768115942,0.9784714747039828,0.2806845648748887,0.6137744767049291,0.6861962909121742,0.1425471670738424
311,0.4583333333333333,0.9784714747039828,0.2875028134143596,0.6137744767049291,0.6810051506165131,0.13550421251255668
312,0.4583333333333333,0.9827771797631862,0.2875028134143596,0.6164753544902093,0.6819582334816844,0.13238261820563724
313,0.48007246376811596,0.9827771797631862,0.3011393104933016,0.6164753544902093,0.6718237818281675,0.12261465338419968
314,0.48007246376811596,0.9838536060279871,0.3011393104933016,0.6171505739365294,0.6720650901209917,0.12136441551792308
315,0.4945652173913043,0.9838536060279871,0.3102303085459296,0.6171505739365294,0.6654769206418297,0.11315614871142961
316,0.4945652173913043,0.984930032292788,0.3102303085459296,0.6178257933828494,0.6657203073163596,0.11247218426490369
317,0.5018115942028986,0.984930032292788,0.3147758075722436,0.6178257933828494,0.6624755873784943,0.11049158060004625
318,0.5018115942028986,0.9860064585575888,0.3147758075722436,0.6185010128291695,0.6627197840005767,0.11040801804890435
319,0.5253623188405797,0.9860064585575888,0.32954867940776406,0.6185010128291695,0.6523930316034486,0.1040198387305137
320,0.5253623188405797,0.9870828848223897,0.32954867940776406,0.6191762322754896,0.6526404278527168,0.103864423961449
321,0.5471014492753623,0.9870828848223897,0.343185176486706,0.6191762322754896,0.6433926242656424,0.09570352865018462
322,0.5471014492753623,0.9881593110871906,0.343185176486706,0.6198514517218096,0.6436426544594522,0.09532004647620794
323,0.552536231884058,0.9881593110871906,0.3465943007564415,0.6198514517218096,0.6413722137350474,0.09487070865733911
324,0.552536231884058,0.9892357373519914,0.3465943007564415,0.6205266711681297,0.6416225986013738,0.09428123416216182
325,0.6014492753623188,0.9892357373519914,0.3772764191840609,0.6205266711681297,0.6218929137101639,0.078140870238428
326,0.6014492753623188,0.9903121636167922,0.3772764191840609,0.6212018906144497,0.6221486080551976,0.076878913301892
327,0.6394927536231884,0.9903121636167922,0.4011402890722093,0.6212018906144497,0.6076261969400929,0.06620702512501969
328,0.6394927536231884,0.9913885898815931,0.4011402890722093,0.6218771100607697,0.6078851743751561,0.06571620275329745
329,0.6829710144927537,0.9913885898815931,0.42841328323009326,0.6218771100607697,0.5921001601397583,0.05408656409777652
330,0.6829710144927537,0.9924650161463939,0.42841328323009326,0.6225523295070898,0.5923622257113493,0.05402481618193014
331,0.7463768115942029,0.9924650161463939,0.46818639971034065,0.6225523295070898,0.5707621017122504,0.041478536328546756
332,0.7463768115942029,0.9946178686759957,0.46818639971034065,0.6239027683997299,0.5712928821365687,0.04101657663494305
333,0.7481884057971014,0.9946178686759957,0.4693227744669191,0.6239027683997299,0.5706990405326023,0.04071666890615644
